path,labels
/mnt/data/mg_astray_plated_clear.jpg,MG gundam_base_limited plating clear_color
/mnt/data/hg_gundam_rx782_rollout_color.jpg,HG
/mnt/data/hg_gundam_harute_final_battle.jpg,HG
/mnt/data/mgex_strike_freedom_gundam.jpg,MGEX painted
/mnt/data/hg_gundam_destiny_final_battle.jpg,HG
/mnt/data/hg_gundam_naion.jpg,HG
/mnt/data/pg_trans_am_00_raiser_gundam.jpg,PG clear_color
/mnt/data/hg_gundam_griepe.jpg,HG
/mnt/data/mg_gundam_blaze_zaku_phantom.jpg,MG
/mnt/data/mg_gunner_zaku_warrior_lunamaria.jpg,MG
/mnt/data/gundam_base_limited_rg_hi_nu.jpg,RG gundam_base_limited titanium_finish
/mnt/data/mg_stormbringer_fa_gundam.jpg,MG
/mnt/data/rg_force_impulse_titanium.jpg,RG titanium_finish
/mnt/data/mg_gundam_astray_mirage_frame.jpg,MG
/mnt/data/mg_gundam_sinanju_ver_ka_titanium_finish.jpg,MG titanium_finish
/mnt/data/mg_tallgeese_ew_special_coating.jpg,MG special_coating
/mnt/data/MG_tallgeese_3_special_coating.jpg,MG special_coating
/mnt/data/MG_Justice_special_coating.jpg,MG special_coating
/mnt/data/mg_perfect_strike_special_coating.jpg,MG special_coating
/mnt/data/hg_gundam_jegan_type_d_camouflage.jpg,HG camouflage
/mnt/data/hg_gundam_lfrith_anavata.jpg,HG
/mnt/data/rg_gundam_g3_ver_20_rx78.jpg,RG
/mnt/data/hg_gundam_lfrith_jiu.jpg,HG
/mnt/data/mg_freedom_20_silver_coating.jpg,MG special_coating
/mnt/data/mg_blaze_zaku_phantom_gundam.jpg,MG
/mnt/data/rg_sazabi_special_coating_gundam.jpg,RG special_coating
/mnt/data/mg_jesta_gundam_shezarr_type_.jpg,MG
/mnt/data/mg_providence_gundam_special_coating.jpg,MG special_coating
/mnt/data/rg_sazabi_mechanical_core_plating.jpg,RG gundam_base_limited plating
/mnt/data/metal_build_gundam_qant_full_saber.jpg,metal_build
/mnt/data/mg_ex_s_gundam_task_force_alpha.jpg,MG
/mnt/data/rg_god_burning_gundam_hyper_mode.jpg,RG gundam_base_limited
/mnt/data/MG_Destiny_extreme_blast_mode.jpg,MG
/mnt/data/MG_buster.jpg,MG
/mnt/data/MG_stormbringer_pf.jpg,MG
/mnt/data/MG_banshee_ver_ka.jpg,MG
/mnt/data/MG_vidar.jpg,MG
/mnt/data/MG_hi_nu_ver_ka.jpg,MG
/mnt/data/MG_freedom_special_coating.jpg,MG special_coating
/mnt/data/MG_nu_ver_ka.jpg,MG
/mnt/data/MG_psycho_zaku_ver_ka.jpg,MG
